Date, MSFT Price,APPL Price,MSFT Log Price,AAPL Log Price,MSFT Log Return,AAPL Log Return
24-May-12,29.07,80.76,3.369706715,4.391481793,-0.001375043,-0.009243919
25-May-12,29.06,80.33,3.369362658,4.38614315,-0.000344056,-0.005338643
29-May-12,29.56,81.75,3.386422096,4.40366581,0.017059438,0.01752266
30-May-12,29.34,82.74,3.378951773,4.415703161,-0.007470323,0.012037351
31-May-12,29.19,82.53,3.373826185,4.413161864,-0.005125588,-0.002541297
1-Jun-12,28.45,80.14,3.348148161,4.383775105,-0.025678024,-0.029386758
4-Jun-12,28.55,80.61,3.351656936,4.389622711,0.003508776,0.005847606
5-Jun-12,28.5,80.4,3.349904087,4.387014176,-0.001752849,-0.002608535
6-Jun-12,29.35,81.64,3.379292546,4.402319338,0.029388459,0.015305162
7-Jun-12,29.23,81.67,3.375195579,4.402686737,-0.004096967,0.000367399
8-Jun-12,29.65,82.9,3.389462125,4.417635062,0.014266546,0.014948325
11-Jun-12,28.9,81.6,3.363841595,4.401829262,-0.02562053,-0.0158058
12-Jun-12,29.29,82.31,3.377246161,4.410492607,0.013404566,0.008663345
13-Jun-12,29.13,81.74,3.371768571,4.403543478,-0.00547759,-0.006949129
14-Jun-12,29.34,81.65,3.378951773,4.402441819,0.007183202,-0.001101659
15-Jun-12,30.02,82.02,3.401863826,4.40696312,0.022912053,0.004521301
18-Jun-12,29.84,83.68,3.395849775,4.427,-0.006014051,0.02003688
19-Jun-12,30.7,83.92,3.424262655,4.429863964,0.028412879,0.002863964
20-Jun-12,30.93,83.68,3.431726587,4.427,0.007463932,-0.002863964
21-Jun-12,30.14,82.52,3.405853193,4.413040688,-0.025873393,-0.013959312
22-Jun-12,30.7,83.16,3.424262655,4.420766463,0.018409461,0.007725775
25-Jun-12,29.86,81.54,3.396519792,4.401093697,-0.027742862,-0.019672766
26-Jun-12,30.02,81.72,3.401863826,4.40329877,0.005344034,0.002205073
27-Jun-12,30.17,82.07,3.406848053,4.407572542,0.004984227,0.004273772
28-Jun-12,29.91,81.29,3.398192873,4.398023008,-0.008655181,-0.009549534
29-Jun-12,30.59,83.43,3.420673158,4.424007957,0.022480286,0.025984949
2-Jul-12,30.56,84.65,3.419691964,4.438525109,-0.000981194,0.014517152
3-Jul-12,30.76,85.63,3.426215145,4.450035689,0.00652318,0.01151058
5-Jul-12,30.7,87.13,3.424262655,4.467401256,-0.00195249,0.017365567
6-Jul-12,30.18,86.55,3.407179453,4.460722282,-0.017083201,-0.006678975
9-Jul-12,30,87.7,3.401197382,4.473921899,-0.005982072,0.013199618
10-Jul-12,29.74,86.89,3.392492941,4.464642951,-0.008704441,-0.009278949
11-Jul-12,29.3,86.35,3.377587516,4.458408805,-0.014905425,-0.006234146
12-Jul-12,28.63,85.56,3.354455119,4.449217884,-0.023132397,-0.00919092
13-Jul-12,29.39,86.42,3.38065448,4.459219131,0.026199361,0.010001246
16-Jul-12,29.44,86.7,3.382354294,4.462453884,0.001699813,0.003234753
17-Jul-12,29.66,86.71,3.389799337,4.462569217,0.007445043,0.000115334
18-Jul-12,30.45,86.61,3.416085994,4.461415282,0.026286657,-0.001153935
19-Jul-12,30.66,87.76,3.422958873,4.474605816,0.006872879,0.013190534
20-Jul-12,30.12,86.33,3.405189403,4.458177162,-0.017769471,-0.016428654
23-Jul-12,29.28,86.26,3.376904689,4.457365991,-0.028284714,-0.000811171
24-Jul-12,29.15,85.85,3.372454913,4.452601587,-0.004449776,-0.004764404
25-Jul-12,28.83,82.14,3.361416512,4.408425109,-0.011038401,-0.044176479
26-Jul-12,29.16,82.13,3.372797907,4.408303358,0.011381395,-0.000121751
27-Jul-12,29.76,83.59,3.39316521,4.425923896,0.020367303,0.017620538
30-Jul-12,29.64,85,3.3891248,4.442651256,-0.00404041,0.016727361
31-Jul-12,29.47,87.25,3.383372797,4.468777561,-0.005752004,0.026126305
1-Aug-12,29.41,86.69,3.381334753,4.462338537,-0.002038044,-0.006439024
2-Aug-12,29.19,86.83,3.373826185,4.463952184,-0.007508568,0.001613647
3-Aug-12,29.75,87.96,3.392829132,4.476882166,0.019002947,0.012929982
6-Aug-12,29.95,88.94,3.399529325,4.487961985,0.006700193,0.011079819
7-Aug-12,30.26,88.7,3.409826708,4.485259889,0.010297384,-0.002702096
8-Aug-12,30.33,88.55,3.412137322,4.483567364,0.002310613,-0.001692525
9-Aug-12,30.5,88.68,3.417726684,4.485034385,0.005589362,0.001467021
10-Aug-12,30.42,88.81,3.415100287,4.486499256,-0.002626397,0.001464872
13-Aug-12,30.39,90,3.414113607,4.49980967,-0.00098668,0.013310414
14-Aug-12,30.13,90.24,3.405521353,4.502472788,-0.008592254,0.002663117
15-Aug-12,30.2,90.12,3.407841924,4.501142116,0.002320571,-0.001330672
16-Aug-12,30.78,90.91,3.426865128,4.509870006,0.019023204,0.008727891
17-Aug-12,30.9,92.59,3.430756184,4.528181144,0.003891055,0.018311138
20-Aug-12,30.74,95.02,3.425564738,4.554087396,-0.005191446,0.025906251
21-Aug-12,30.8,93.72,3.42751469,4.540311614,0.001949952,-0.013775782
